id,name,num_daira,num_towns,area,pop_2008,pop_density,num_cases,num_deaths,num_recovered,perc_cases
1,Adrar,11,28,439 700,399 714,"0,94",1,0,0,0.015
2,Chlef,13,35,4 795,1 002 088,209,0,0,0,0.000
3,Laghouat,10,24,25 057,455 602,18,0,0,0,0.000
4,OumElBouaghi,12,29,7 638,621 612,81,0,0,0,0.000
5,Batna,21,61,12 192,1 119 791,92,0,0,0,0.000
6,Béjaïa,19,52,3 268,912 577,279,1,0,0,0.015
7,Biskra,12,33,20 986,721 356,34,0,0,0,0.000
8,Béchar,12,21,162 200,270 061,"1,7",0,0,0,0.000
9,Blida,10,25,1 575,1 002 937,591,40,4,12,0.597
10,Bouira,12,45,4 439,695 583,157,1,0,0,0.015
11,Tamanrasset,7,10,556 185,176 637,"0,32",0,0,0,0.000
12,Tébessa,12,28,14 227,648 703,46,0,0,0,0.000
13,Tlemcen,20,53,9 061,949 135,105,0,0,0,0.000
14,Tiaret,14,42,20 673,846 823,41,0,0,0,0.000
15,TiziOuzou,21,67,2 956,1 127 608,316,4,0,0,0.060
16,Alger,13,57,1 190,2 988 145,2 511,4,0,0,0.060
17,Djelfa,12,36,66 415,1 092 184,46,0,0,0,0.000
18,Jijel,11,28,2 577,636 948,247,0,0,0,0.000
19,Sétif,20,60,6 504,1 489 979,229,0,0,0,0.000
20,Saïda,6,16,6 764,330 641,49,0,0,0,0.000
21,Skikda,13,38,4 026,898 680,223,4,0,0,0.060
22,SidiBelAbbès,15,52,9 096,604 744,66,0,0,0,0.000
23,Annaba,6,12,1 439,609 499,424,1,0,0,0.015
24,Guelma,10,34,4 101,482 430,118,2,0,0,0.030
25,Constantine,6,12,2 187,938 475,427,0,0,0,0.000
26,Médéa,19,64,8 866,819 932,92,1,0,0,0.015
27,Mostaganem,10,32,2 175,737 118,325,0,0,0,0.000
28,M'Sila,15,47,18 718,990 591,53,0,0,0,0.000
29,Mascara,16,47,5 941,784 073,132,2,0,0,0.030
30,Ouargla,10,21,211 980,558 558,"2,6",1,0,0,0.015
31,Oran,9,26,2 121,1 454 078,688,0,0,0,0.000
32,ElBayadh,8,22,78 870,228 624,"3,2",0,0,0,0.000
33,Illizi,3,6,285 000,52 333,"0,18",0,0,0,0.000
34,BordjBouArreridj,10,34,4 115,628 475,160,1,0,0,0.015
35,Boumerdès,9,32,1 356,802 083,504,1,0,0,0.015
36,ElTarf,7,24,3 339,408 414,122,0,0,0,0.000
37,Tindouf,1,2,159 000,49 149,"0,31",0,0,0,0.000
38,Tissemsilt,8,22,3 152,294 476,93,0,0,0,0.000
39,ElOued,12,30,54 573,647 548,12,2,0,0,0.030
40,Khenchela,8,21,9 811,386 683,40,0,0,0,0.000
41,SoukAhras,10,26,4 541,438 127,95,1,0,0,0.015
42,Tipaza,10,28,1 605,591 010,273,0,0,0,0.000
43,Mila,13,32,3 407,766 886,220,0,0,0,0.000
44,AïnDefla,14,36,4 891,766 013,156,0,0,0,0.000
45,Naâma,7,12,29 950,192 891,"6,5",0,0,0,0.000
46,AïnTémouchent,8,28,2 379,371 239,156,0,0,0,0.000
47,Ghardaïa,9,13,86 105,363 598,"4,2",0,0,0,0.000
48,Relizane,13,38,4 870,726 180,152,0,0,0,0.000
